城市,城市经度,城市纬度
邵阳市,111.467791,27.238892
绍兴市,120.580232,30.029752
深圳市,114.057868,22.543099
沈阳市,123.464675,41.677576
十堰市,110.797990,32.629397
石家庄市,114.514859,38.042306
石嘴山市,106.383303,38.983236
双鸭山市,131.159133,46.646508
朔州市,112.432825,39.331595
四平市,124.350398,43.166419
松原市,124.825117,45.141789
苏州市,120.585315,31.298886
宿迁市,118.275198,33.963232
宿州市,116.964356,33.646373
绥化市,126.968887,46.653845
随州市,113.382458,31.690215
遂宁市,105.592898,30.532847
台州市,121.420757,28.656386
太原市,112.548879,37.870590
泰安市,117.087614,36.200252
泰州市,119.923116,32.455778
唐山市,118.180193,39.630867
天水市,105.724947,34.580863
铁岭市,123.726166,42.223769
通化市,125.939697,41.728401
通辽市,122.243444,43.652890
铜川市	,108.945233,34.896756
铜陵市,117.812079,30.945429
铜仁市,109.189598,27.731514
威海市,122.120419,37.513068
潍坊市,119.161755,36.706774
渭南市,109.509786,34.499995
温州市,120.699366,27.994267
文山壮族苗族自治州,104.216248,23.400733
乌海市,106.794249,39.655388
乌兰察布市,113.132585,40.994785
无锡市,120.311910,31.491169
吴忠市,106.198393,37.997460
芜湖市,118.432941,31.352859
梧州市,111.279115,23.476962
武汉市,114.305392,30.593098
武威市,102.638011,37.928264
西安市,108.940174,34.341568
西宁市,101.778228,36.617144
西双版纳傣族自治州,100.797777,22.007351
锡林郭勒盟,116.048222,43.933454
厦门市,118.089425,24.479833
咸宁市,114.322492,29.841443
咸阳市,108.708991,34.329605
湘潭市,112.944049,27.829738
湘西土家族苗族自治州,109.739172,28.311947
孝感市,113.916902,30.924568
忻州市,112.734174,38.416663
新乡市,113.926800,35.303004
新余市,114.917346,27.817808
信阳市,114.091023,32.146983
邢台市,114.504844,37.070589
徐州市,117.284124,34.205768
许昌市,113.852640,34.035506
宣城市,118.758816,30.940718
雅安市,103.013261,29.980537
烟台市,121.447935,37.463822
延安市,109.489727,36.585455
盐城市,120.163561,33.347382
扬州市,119.412966,32.394210
阳江市,111.982232,21.857958
阳泉市,113.580519,37.856971
伊春市,128.841147,47.727536
宜宾市,104.643215,28.751768
宜昌市,111.286471,30.691967
